consumo,motor,cv,peso,acel,a–o,origen,cilindr,derivada
13,5031,130,1168,12,70,1,8,0
16,5735,165,1231,11.5,70,1,8,0
13,5211,150,1145,11,70,1,8,0
15,4982,150,1144,12,70,1,8,0
14,4949,140,1149,10.5,70,1,8,0
16,7030,198,1447,10,70,1,8,0
17,7440,220,1451,9,70,1,8,0
17,7210,215,1437,8.5,70,1,8,0
17,7456,225,1475,10,70,1,8,0
16,6391,190,1283,8.5,70,1,8,0
,2179,115,1030,17.5,70,2,4,1
,5735,165,1380,11.5,70,1,8,0
,5752,153,1344,11,70,1,8,0
,6276,175,1388,10.5,70,1,8,0
,5899,175,1283,11,70,1,8,0
16,6276,170,1187,10,70,1,8,0
17,5572,160,1203,8,70,1,8,0
,4949,140,1117,8,70,1,8,0
16,6555,150,1253,9.5,70,1,8,0
17,7456,225,1028,10,70,1,8,0
10,1852,95,790,15,70,3,4,1
11,3245,95,944,15.5,70,1,6,1
13,3261,97,924,15.5,70,1,6,1
11,3277,85,862,16,70,1,6,1
9,1590,88,710,14.5,70,3,4,1
9,1590,46,611,20.5,70,2,4,1
9,1803,87,890,17.5,70,2,4,1
10,1753,90,810,14.5,70,2,4,1
9,1704,95,791,17.5,70,2,4,1
9,1983,113,744,12.5,70,2,4,1
11,3261,90,882,15,70,1,6,1
24,5899,215,1538,14,70,1,8,0
24,5031,200,1458,15,70,1,8,0
21,5211,210,1460,13.5,70,1,8,0
26,66,93,244,8.5,0,,,
9,1590,88,710,14.5,71,3,4,1
8,2294,90,754,15.5,71,1,4,1
9,1852,95,742,14,71,3,4,1
9,1606,,682,19,71,1,4,1
,1590,48,659,20,71,2,4,1
12,3802,100,878,13,71,1,6,1
15,3687,105,1146,15.5,71,1,6,1
14,4097,100,1109,15.5,71,1,6,1
12,4097,88,1100,15.5,71,1,6,1
13,3802,100,1096,15.5,71,1,6,1
17,5735,165,1403,12,71,1,8,0
17,6555,175,1488,11.5,71,1,8,0
17,5752,153,1384,13.5,71,1,8,0
17,5211,150,1365,13,71,1,8,0
20,6276,180,1651,11.5,71,1,8,0
18,6555,170,1582,12,71,1,8,0
18,6555,175,1713,12,71,1,8,0
13,4228,110,987,13.5,71,1,6,1
11,2294,72,802,19,71,1,4,1
12,4097,100,1094,15,71,1,6,1
13,4097,88,1046,14.5,71,1,6,1
10,1999,86,740,14,71,1,4,1
8,1901,90,707,14,71,2,4,1
8,1295,70,691,19.5,71,2,4,1
8,1442,76,688,14.5,71,2,4,1
8,1163,65,591,19,71,3,4,1
7,1180,69,537,18,71,3,4,1
9,1590,60,611,19,71,2,4,1
9,1491,70,651,20.5,71,1,4,1
10,1852,95,759,15.5,72,3,4,1
9,1598,80,708,17,72,1,4,1
10,1590,54,751,23.5,72,2,4,1
12,2294,90,802,19.5,72,1,4,1
11,1999,86,742,16.5,72,1,4,1
18,5735,165,1424,12,72,1,8,0
17,6555,175,1461,12,72,1,8,0
16,5211,150,1378,13.5,72,1,8,0
17,5752,153,1376,13,72,1,8,0
14,4982,150,1224,11.5,72,1,8,0
21,7030,208,1544,11,72,1,8,0
18,5735,155,1500,13.5,72,1,8,0
20,5735,160,1485,13.5,72,1,8,0
18,6555,190,1474,12.5,72,1,8,0
12,1147,97,776,13.5,72,3,3,1
16,4982,150,1297,12.5,72,1,8,0
18,5031,130,1366,14,72,1,8,0
18,4949,140,1431,16,72,1,8,0
17,5211,150,1359,14,72,1,8,0
13,1983,112,977,14.5,72,2,4,1
11,1983,76,837,18,72,2,4,1
11,1966,87,993,19.5,72,2,4,1
9,1573,69,729,18,72,2,4,1
11,1999,86,798,16,72,1,4,1
8,1590,92,762,17,72,3,4,1
10,1966,97,835,14.5,72,3,4,1
8,1606,80,721,15,72,1,4,1
9,1590,88,700,16.5,72,3,4,1
18,5735,175,1366,13,73,1,8,0
17,4982,150,1224,11.5,73,1,8,0
18,5735,145,1329,13,73,1,8,0
17,4949,137,1347,14.5,73,1,8,0
16,5211,150,1259,12.5,73,1,8,0
20,7030,198,1650,11.5,73,1,8,0
18,6555,150,1488,12,73,1,8,0
18,5752,158,1454,13,73,1,8,0
17,5211,150,1412,14.5,73,1,8,0
18,7210,215,1578,11,73,1,8,0
20,7456,225,1650,11,73,1,8,0
18,5899,175,1273,11,73,1,8,0
13,3687,105,1040,16.5,73,1,6,1
15,4097,100,1092,18,73,1,6,1
13,3802,100,981,16,73,1,6,1
13,4097,88,1007,16.5,73,1,6,1
10,3245,95,968,16,73,1,6,1
9,1590,46,650,21,73,2,4,1
21,6555,150,1665,14,73,1,8,0
20,6555,167,1635,12.5,73,1,8,0
18,5899,170,1551,13,73,1,8,0
20,5735,180,1499,12.5,73,1,8,0
13,3802,100,929,15,73,1,6,1
12,1590,88,759,19,73,3,4,1
11,2294,72,800,19.5,73,1,4,1
11,1770,94,793,16.5,73,3,4,1
13,1147,90,708,13.5,73,3,3,1
12,1999,85,770,18.5,73,1,4,1
11,2540,107,824,14,73,1,6,1
9,1606,90,755,15.5,73,2,4,1
16,5735,145,1360,13,73,1,8,0
15,6555,230,1426,9.5,73,1,8,0
8,1114,49,622,19.5,73,2,4,1
10,1901,75,719,15.5,73,2,4,1
12,1868,91,860,14,73,2,4,1
12,1983,112,956,15.5,73,2,4,1
16,5211,150,1133,11,73,1,8,0
10,1983,110,886,14,73,2,4,1
12,2556,122,935,13.5,73,3,6,1
21,5735,180,1221,11,73,1,8,0
12,3245,95,1034,16.5,74,1,6,1
11,3277,,958,17,74,1,6,1
12,3802,100,967,16,74,1,6,1
16,4097,100,1112,17,74,1,6,1
8,1295,67,650,19,74,3,4,1
9,1999,80,817,16.5,74,1,4,1
7,1163,65,612,21,74,3,4,1
9,2294,75,847,17,74,1,4,1
15,4097,100,1260,17,74,1,6,1
15,4228,110,1210,18,74,1,6,1
13,3687,105,1204,16.5,74,1,6,1
15,4949,140,1380,14,74,1,8,0
18,5735,150,1566,14.5,74,1,8,0
17,5211,150,1485,13.5,74,1,8,0
17,4949,140,1546,16,74,1,8,0
17,4982,150,1419,15.5,74,1,8,0
8,1606,83,739,16.5,74,2,4,1
9,1295,67,654,15.5,74,2,4,1
9,1590,78,766,14.5,74,2,4,1
8,1245,52,549,16.5,74,3,4,1
7,1360,61,667,19,74,3,4,1
8,1475,75,708,14.5,74,1,4,1
10,1475,75,702,15.5,74,2,4,1
9,1901,75,748,14,74,2,4,1
10,1966,97,829,15,74,3,4,1
9,1770,93,797,15.5,74,3,4,1
8,1295,67,666,16,74,2,4,1
12,3687,95,1088,16,75,1,6,1
13,4097,105,1153,16,75,1,6,1
16,4097,72,1144,21,75,1,6,1
16,4097,72,1052,19.5,75,1,6,1
15,6555,170,1556,11.5,75,1,8,0
16,5735,145,1480,14,75,1,8,0
15,5211,150,1499,14.5,75,1,8,0
17,5752,148,1552,13.5,75,1,8,0
14,3785,110,1302,21,75,1,6,1
15,4097,105,1299,18.5,75,1,6,1
16,4228,110,1243,19,75,1,6,1
