t,Serie 1,Serie 3,Serie 4,t,Serie 1,Serie 3,Serie 4
1,"6,58","3,66","13,36",31,"5,91","28,3","8,09"
2,"5,11","3,99","10,73",32,"6,48","29,95","9,68"
3,"6,32","5,02","9,29",33,"6,07","3,19","12,31"
4,"6,36","6,44","10,82",34,"6,72","33,13","10,82"
5,"5,88","7,51","13,24",35,"5,9","34,48","8,95"
6,"5,7","8,21","11,2",36,"6,04","35,69","10,15"
7,"6,18","9,26","9,59",37,"6,41","37,26","13,26"
8,"5,28","9,48",10,38,"6,48","39,08","11,58"
9,"6,1","10,21","12,87",39,6,"40,49","9,82"
10,"5,74","10,78","10,77",40,"6,35","42,09","11,37"
11,"5,1","11,57","8,99",41,"5,81","43,17","13,82"
12,"6,08","12,55","10,18",42,"6,32","44,58","12,69"
13,"6,28","13,86","13,12",43,"6,41","46,24","10,91"
14,"5,4","14,34","10,54",44,"6,67","48,32","12,08"
15,"5,72","14,77","8,53",45,"5,53","49,34","14,81"
16,"6,35","25,88","10,11",46,"5,6","49,9","12,51"
17,"6,15","17,1","12,9",47,"5,93","50,6","10,93"
18,"5,74","10,91","10,57",48,"4,89","51,45","12,31"
19,"6,44","19,31","9,27",49,"5,83","52,18","14,67"
20,"6,09","20,62","10,48",50,"5,31","52,28","11,61"
21,"6,33","22,13","13,54",51,"6,6","55,5","11,15"
22,"5,68","23,04","11,05",52,"5,42","53,96","11,63"
23,"5,95","23,93","9,32",53,6,"54,69","14,38"
24,"5,98","24,87","10,52",54,"5,7","55,21","11,86"
25,"5,08","25,83","13,32",55,"6,26","56,27","10,08"
26,"5,36","26,09","10,45",56,"6,15","57,46","12,12"
27,"6,62","27,42","9,54",57,"5,65","58,16","14,23"
28,"5,32","27,82","9,84",58,"5,28","58,2","11,26"
29,"5,3","27,73",12,59,"6,68","59,48","10,83"
30,"5,89","28,06","9,74",60,"5,94","60,56","11,84"
